table_name,object_type,table_description,column_name,ordinal_position,data_type,is_nullable,column_default,column_description,sensitivity,is_primary_key,foreign_key_references
report,TABLE,"One use of force incident report. Nothing is ever hard-deleted: ""deleted"" is a timestamp tombstone, and the application reads and writes through the v_report view. A draft is simply a row with status IN_PROGRESS - there is no separate draft table. The table has no outbound foreign keys and its primary key constraint is still named pk_form, from when the table was called ""form"".",id,1,integer,f,nextval('form_id_seq'::regclass),Primary key. The sequence is still named form_id_seq after the original table name.,NONE,Y,
report,TABLE,"One use of force incident report. Nothing is ever hard-deleted: ""deleted"" is a timestamp tombstone, and the application reads and writes through the v_report view. A draft is simply a row with status IN_PROGRESS - there is no separate draft table. The table has no outbound foreign keys and its primary key constraint is still named pk_form, from when the table was called ""form"".",form_response,2,jsonb,t,,"The entire report as submitted, as JSON. Holds the reasons force was used, the techniques and restraint positions applied, what was observed, and the relocationAndInjuries section - which records prisoner injuries, hospitalisation, healthcare involvement, the healthcare practitioner's name and whether staff needed medical attention. Health data about both the prisoner and staff. See docs/report-payload.md for the shape, and reference-data.csv for the permitted values.",SPECIAL-CATEGORY,N,
report,TABLE,"One use of force incident report. Nothing is ever hard-deleted: ""deleted"" is a timestamp tombstone, and the application reads and writes through the v_report view. A draft is simply a row with status IN_PROGRESS - there is no separate draft table. The table has no outbound foreign keys and its primary key constraint is still named pk_form, from when the table was called ""form"".",user_id,3,character varying(32),t,,HMPPS username of the officer who created the report. Nullable in the database - a 2019 migration altered the column and dropped the not-null constraint - but always populated in practice.,STAFF,N,
report,TABLE,"One use of force incident report. Nothing is ever hard-deleted: ""deleted"" is a timestamp tombstone, and the application reads and writes through the v_report view. A draft is simply a row with status IN_PROGRESS - there is no separate draft table. The table has no outbound foreign keys and its primary key constraint is still named pk_form, from when the table was called ""form"".",sequence_no,4,integer,f,1,Distinguishes multiple reports by the same officer against the same booking. Computed as MAX(sequence_no) + 1 for that user and booking.,NONE,N,
report,TABLE,"One use of force incident report. Nothing is ever hard-deleted: ""deleted"" is a timestamp tombstone, and the application reads and writes through the v_report view. A draft is simply a row with status IN_PROGRESS - there is no separate draft table. The table has no outbound foreign keys and its primary key constraint is still named pk_form, from when the table was called ""form"".",booking_id,5,bigint,f,'-1'::bigint,NOMIS booking id: the custody period of the prisoner force was used on. Defaults to -1 where unknown.,PERSONAL,N,
report,TABLE,"One use of force incident report. Nothing is ever hard-deleted: ""deleted"" is a timestamp tombstone, and the application reads and writes through the v_report view. A draft is simply a row with status IN_PROGRESS - there is no separate draft table. The table has no outbound foreign keys and its primary key constraint is still named pk_form, from when the table was called ""form"".",created_date,6,timestamp with time zone,f,CURRENT_TIMESTAMP(6),When the report was created. Originally named start_date.,NONE,N,
report,TABLE,"One use of force incident report. Nothing is ever hard-deleted: ""deleted"" is a timestamp tombstone, and the application reads and writes through the v_report view. A draft is simply a row with status IN_PROGRESS - there is no separate draft table. The table has no outbound foreign keys and its primary key constraint is still named pk_form, from when the table was called ""form"".",status,7,character varying(20),t,,"IN_PROGRESS, SUBMITTED or COMPLETE. No check constraint - the application enforces it. See reference-data.csv.",NONE,N,
report,TABLE,"One use of force incident report. Nothing is ever hard-deleted: ""deleted"" is a timestamp tombstone, and the application reads and writes through the v_report view. A draft is simply a row with status IN_PROGRESS - there is no separate draft table. The table has no outbound foreign keys and its primary key constraint is still named pk_form, from when the table was called ""form"".",submitted_date,8,timestamp with time zone,t,,"When the reporting officer submitted the report, which is what creates the statement rows. Null while still a draft.",NONE,N,
report,TABLE,"One use of force incident report. Nothing is ever hard-deleted: ""deleted"" is a timestamp tombstone, and the application reads and writes through the v_report view. A draft is simply a row with status IN_PROGRESS - there is no separate draft table. The table has no outbound foreign keys and its primary key constraint is still named pk_form, from when the table was called ""form"".",offender_no,9,character varying(32),f,,NOMIS offender number of the prisoner force was used on. The identifier that makes every row in this schema personal data about that prisoner.,PERSONAL,N,
report,TABLE,"One use of force incident report. Nothing is ever hard-deleted: ""deleted"" is a timestamp tombstone, and the application reads and writes through the v_report view. A draft is simply a row with status IN_PROGRESS - there is no separate draft table. The table has no outbound foreign keys and its primary key constraint is still named pk_form, from when the table was called ""form"".",reporter_name,10,character varying(128),f,,"Display name of the reporting officer, captured at creation so the report reads correctly even after the officer leaves.",STAFF,N,
